序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
1478,301013,利和兴,24.02,0.84%,2.92%,8058.28万,5254.52万,2803.76万,1.33亿
1479,002588,史丹利,10.75,0.84%,1.62%,8420.80万,6512.90万,1907.90万,1.51亿
1480,600520,三佳科技,27.6,0.84%,2.56%,5457.78万,5694.43万,-236.65万,1.12亿
1481,600188,兖矿能源,15.57,0.84%,2.07%,10.07亿,8.87亿,1.20亿,18.94亿
1482,300434,金石亚药,10.81,0.84%,2.83%,5148.17万,5309.55万,-161.38万,1.05亿
1483,300084,海默科技,10.84,0.84%,4.13%,8582.62万,6981.84万,1600.78万,1.56亿
1484,301138,华研精机,39.04,0.83%,2.21%,3288.70万,2637.74万,650.95万,5926.44万
1485,301279,金道科技,31.44,0.83%,1.57%,2473.35万,2383.79万,89.56万,4857.14万
1486,688190,云路股份,99.81,0.83%,1.47%,9188.77万,8390.12万,798.65万,1.76亿
1487,688669,聚石化学,25.63,0.83%,1.25%,2050.12万,1837.79万,212.32万,3887.90万
1488,688328,深科达,32.67,0.83%,2.59%,4115.53万,3894.71万,220.82万,8010.24万
1489,688329,艾隆科技,25.6,0.83%,2.11%,2029.72万,2150.17万,-120.45万,4179.89万
1490,688411,海博思创,223.18,0.83%,2.95%,4.80亿,3.98亿,8262.46万,8.78亿
1491,605169,洪通燃气,13.38,0.83%,0.80%,1753.69万,1257.95万,495.75万,3011.64万
1492,603155,新亚强,16.91,0.83%,0.79%,2381.49万,1864.35万,517.14万,4245.85万
1493,601636,旗滨集团,7.27,0.83%,2.31%,2.51亿,2.49亿,120.82万,5.00亿
1494,600356,恒丰纸业,9.73,0.83%,2.27%,3868.49万,2749.34万,1119.15万,6617.83万
1495,002041,登海种业,10.88,0.83%,6.06%,2.76亿,3.16亿,-4065.45万,5.92亿
1496,600358,ST联合,6.16,0.82%,0.92%,1734.29万,1130.41万,603.88万,2864.70万
1497,688686,奥普特,118.67,0.82%,0.49%,3715.34万,3358.51万,356.84万,7073.85万
1498,601996,丰林集团,2.46,0.82%,1.99%,2894.10万,2570.31万,323.79万,5464.41万
1499,600292,电投水电,13.6,0.82%,1.98%,1.22亿,8937.41万,3292.33万,2.12亿
1500,300460,ST惠伦,8.65,0.82%,1.53%,1983.90万,1720.96万,262.94万,3704.85万
1501,001378,德冠新材,24.99,0.81%,3.27%,3213.26万,2107.65万,1105.61万,5396.22万
1502,301448,开创电气,44.87,0.81%,2.30%,2825.32万,2143.88万,681.44万,4969.20万
1503,300834,星辉环材,24.8,0.81%,0.67%,1757.60万,1443.15万,314.45万,3200.76万
1504,301169,零点有数,58.6,0.81%,1.70%,3994.94万,3189.40万,805.54万,7184.34万
1505,688981,中芯国际,112.7,0.81%,2.04%,22.53亿,23.45亿,-9220.10万,45.98亿
1506,301027,华蓝集团,18.73,0.81%,4.27%,4636.43万,4836.20万,-199.77万,9472.63万
1507,301229,纽泰格,19.9,0.81%,2.31%,3393.00万,2551.99万,841.02万,5944.99万
1508,300286,安科瑞,27.26,0.81%,3.36%,1.04亿,8837.92万,1567.96万,1.93亿
1509,601991,大唐发电,3.72,0.81%,0.92%,2.46亿,1.79亿,6682.90万,4.25亿
1510,600965,福成股份,6.22,0.81%,2.15%,5910.99万,5128.14万,782.86万,1.10亿
